name,x,y,location,hours,hours_category
Church's Chicken,-87.36448,36.53137,Off-Campus,10am-9pm,Morning to Night
Kelly's Big Burger,-87.36413,36.53080,Off-Campus,24hrs,All Day
Johnny's Big Burger,-87.35570,36.53090,Off-Campus,7am-10pm,Morning to Night
Revel House Pub and Eatery,-87.35362,36.52991,Off-Campus,4pm-12am,Evening to Early Morning
JibBop Grill,-87.35355,36.52964,Off-Campus,12pm-8pm,Afternoon to Night
Plumb Line Coffee,-87.35353,36.52939,Off-Campus,7:30am-6pm,Morning to Evening
Mediterranean Grill,-87.35325,36.52900,Off-Campus,11am-8pm,Afternoon to Night
Wicked Good Sandwiches,-87.35189,36.52222,Off-Campus,10am-8pm,Morning to Night
Cole's Coffee,-87.34818,36.52735,Off-Campus,8am-5pm,Morning to Evening
Na Na's Soul Food Meals,-87.34479,36.53206,Off-Campus,12pm-6pm,Afternoon to Evening
Keondra's Restaurant,-87.34496,36.53074,Off-Campus,12pm-6:30pm,Afternoon to Evening
Uncle Settle's Fish Chicken and More,-87.34477,36.53087,Off-Campus,11am-7pm,Afternoon to Night
The Woodshed Diner,-87.34476,36.53289,Off-Campus,11am-6:30pm,Afternoon to Evening
Silkes Old World Breads Bakery,-87.33927,36.53547,Off-Campus,9:30am-5pm,Morning to Evening
White House Dairy Freeze,-87.34282,36.53411,Off-Campus,7am-10pm,Morning to Night
Strawberry Alley Ale Works,-87.36034,36.52798,Off-Campus,10:30am-10pm,Afternoon to Night
Madeleine - French Bakery,-87.36045,36.52759,Off-Campus,9am-7pm,Morning to Night
Edwards Steakhouse,-87.36002,36.52737,Off-Campus,4:30pm-9pm,Evening to Night
Yada on Franklin,-87.35988,36.52745,Off-Campus,9am-8pm,Morning to Evening
Tarboosh Mediterranean Cuisine,-87.35974,36.52751,Off-Campus,2pm-2am,Afternoon to Early Morning
Trazo Meadery,-87.35963,36.52731,Off-Campus,3pm-11pm,Afternoon to Night
Fanelli's Deli + Market,-87.35951,36.52732,Off-Campus,10am-6pm,Morning to Evening
Hot Pita,-87.35886,36.52744,Off-Campus,8am-5pm,Morning to Evening
Kimo's Hawaiian Grill,-87.35956,36.52766,Off-Campus,11am-8:30pm,Afternoon to Night
Blackhorse Pub and Brewery,-87.35899,36.52744,Off-Campus,Temporarily closed,Temporarily closed
